30|3|35|1
1|3|155|1
101|3|107|1
43|3|44|1
80|3|81|1
173|9|164|16
18|9|22|16
59|9|54|16
118|9|121|16
128|9|112|16
117|20|127|19
114|20|113|19
67|20|66|19
116|20|32|19
123|20|124|19
152|21|143|22
154|21|150|22
153|21|149|22
136|21|148|22
21|21|24|22
57|18|53|13
103|18|73|13
25|18|19|13
26|18|20|13
100|18|71|13
163|26|21|4
159|26|13|4
156|26|6|4
160|26|14|4
161|26|15|4
117|11|115|12
68|11|45|12
63|11|62|12
17|11|12|12
74|11|72|12
60|3|61|8
77|3|78|8
69|3|70|8
2|3|4|8
27|3|28|8
127|19|174|28
130|19|175|28
93|19|94|28
102|19|106|28
65|19|46|28
125|19|143|22
131|19|151|22
111|19|138|22
126|19|145|22
112|19|139|22
145|15|144|14
111|15|110|14
8|15|7|14
105|15|104|14
133|15|132|14
91|17|17|4
88|17|14|4
89|17|16|4
85|17|9|4
84|17|3|4
11|3|15|7
36|3|39|7
82|3|87|7
108|3|109|7
134|3|137|7
48|2|56|16
135|2|136|16
86|2|98|16
49|2|55|16
10|2|23|16
119|20|34|5
115|20|33|5
166|20|167|5
79|20|80|5
29|20|31|5
42|6|146|23
38|6|142|23
37|6|141|23
40|6|140|23
41|6|147|23
172|27|162|26
169|27|160|26
168|27|158|26
170|27|161|26
165|27|157|26
97|17|56|10
83|17|47|10
92|17|51|10
90|17|50|10
95|17|52|10
58|24|54|25
122|24|120|25
75|24|76|25
99|24|96|25
64|24|171|25
